Grant #,Applicant Name,Account Status,FIPS #,County,Classification,PR
1561,"Osceola Mental Health, Inc. d/b/a Park Place Behavioral Health Care",Closed,097-0FBF2-00,Osceola,Critical Private Non-Profit,Haley Beary
4337,"Osprey Master Association, Inc.",Opening,071-UJP6P-00,Lee,Other,Haley Beary
1545,"Otter Creek, Town of",Closed,075-53500-00,Levy,City,John Hayth
1561,"Otter Creek, Town of",Closed,075-53500-00,Levy,City,John Hayth
4486,Our Daily Bread,Active,021-U9U49-00,Collier,Non-Critical Private Non-Profit,Haley Beary
4834,Naturally A BossMum Inc,Opening,057-UJ4PU-00,Hillsborough,Other,John Hayth
4337,Our Lady of Lourdes School,Active,009-U3DK9-00,Brevard,Critical Private Non-Profit,Haley Beary
4673,"Our Mother's Home of Southwest Florida, Inc.",Closed,071-UEQKR-00,Lee,Non-Critical Private Non-Profit,Haley Beary
4337,"Our Saviour Catholic School - Cocoa Beach, FL",Active,009-145D8-00,Brevard,Critical Private Non-Profit,Haley Beary
4673,Out Of Farms Way Animal Rescue Corporation,Opening,127-UQOZH-00,Volusia,Non-Critical Private Non-Profit,Haley Beary
4673,Overoaks Community Development District,Closed,097-UBR9B-00,Osceola,Special District Government,Haley Beary
3605,Neighbors Equine Assistance Team,Opening,,DeSoto,Other,Collin Kenline
1545,"Ozello Water Association, Inc.",Closed,017-53675-00,Citrus,Critical Private Non-Profit,Hamza Sattar
4280,"Ozello Water Association, Inc.",Closed,017-53675-00,Citrus,Critical Private Non-Profit,Hamza Sattar
4177,Pace Fire/Rescue Department,Closed,113-U3RF4-00,Santa Rosa,Non-Critical Private Non-Profit,Rachel Langston
1551,"Pace Water System, Inc.",Closed,113-04742-00,Santa Rosa,Critical Private Non-Profit,Hamza Sattar
1595,"Pace Water System, Inc.",Closed,113-04742-00,Santa Rosa,Critical Private Non-Profit,Hamza Sattar
4564,"Pace Water System, Inc.",Active,113-04742-00,Santa Rosa,Critical Private Non-Profit,Hamza Sattar
4399,Page Pond Assembly of God Church,Closed,013-U9B4V-00,Calhoun,House of Worship,Haley Beary
4806,"NEW BETHEL AFRICAN METHODIST EPISCOPAL CHURCH, INC. LACOOCHEE, FLORIDA",Opening,,Pasco,Other,Ashley Mitchell
4834,"NEW BETHEL AFRICAN METHODIST EPISCOPAL CHURCH, INC. LACOOCHEE, FLORIDA",Opening,101-13164-00,Pasco,Other,Ashley Mitchell
1545,Pahokee Water Control District,Closed,099-U34ED-00,Palm Beach,Special District Government,Hamza Sattar
1561,Pahokee Water Control District,Closed,099-U34ED-00,Palm Beach,Special District Government,Hamza Sattar
1539,New College Of Florida,Closed,000-UMCAV-00,Statewide,Public University,Ashley Mitchell
1609,Pahokee Water Control District,Closed,099-U34ED-00,Palm Beach,Special District Government,Hamza Sattar
1545,New College Of Florida,Closed,000-UMCAV-00,Statewide,Public University,Ashley Mitchell
4337,Pahokee Water Control District,Active,099-U34ED-00,Palm Beach,Special District Government,Hamza Sattar
1561,New College Of Florida,Closed,000-UMCAV-00,Statewide,Public University,Ashley Mitchell
4673,Pahokee Water Control District,Active,099-U34ED-00,Palm Beach,Special District Government,Hamza Sattar
1609,New College Of Florida,Closed,000-UMCAV-00,Statewide,Public University,Ashley Mitchell
4068,New College Of Florida,Closed,000-UMCAV-00,Statewide,Public University,Ashley Mitchell
4337,New College Of Florida,Active,000-UMCAV-00,Statewide,Public University,Ashley Mitchell
4486,New College Of Florida,Active,000-UMCAV-00,Statewide,Public University,Ashley Mitchell
1539,Pinellas County,Closed,103-99103-00,Pinellas,County,Ashley Mitchell
4673,New College Of Florida,Active,000-UMCAV-00,Statewide,Public University,Ashley Mitchell
1545,Pinellas County,Closed,103-99103-00,Pinellas,County,Ashley Mitchell
1561,Pinellas County,Closed,103-99103-00,Pinellas,County,Ashley Mitchell
3288,Pinellas County,Closed,103-99103-00,Pinellas,County,Ashley Mitchell
4673,Painted Harts Rescue Corporation,Closed,117-UZ4OF-00,Seminole,Non-Critical Private Non-Profit,Haley Beary
1609,Pal Mar Water Control District,Closed,000-UF4RS-00,Palm Beach,Special District Government,Hamza Sattar
4834,New Faith Free Methodist Church Inc,Opening,103-0BEFC-00,Pinellas,Other,Collin Kenline
4828,New Faith Human Services Inc,Opening,,Pinellas,Other,Collin Kenline
4834,"New Life Village, Inc.",Opening,057-UFITL-00,Hillsborough,Other,Collin Kenline
3551,Pinellas County,Opening,103-99103-00,Pinellas,County,Ashley Mitchell
4068,Pinellas County,Closed,103-99103-00,Pinellas,County,Ashley Mitchell
1539,"Palm Bay, City of",Closed,009-54000-00,Brevard,City,Collin Kenline
1545,"Palm Bay, City of",Closed,009-54000-00,Brevard,City,Collin Kenline
1561,"Palm Bay, City of",Closed,009-54000-00,Brevard,City,Collin Kenline
1609,"Palm Bay, City of",Closed,009-54000-00,Brevard,City,Collin Kenline
1785,"Palm Bay, City of",Closed,009-04824-00,Brevard,City,Collin Kenline
4283,"Palm Bay, City of",Closed,009-54000-00,Brevard,City,Collin Kenline
4337,"Palm Bay, City of",Closed,009-54000-00,Brevard,City,Collin Kenline
4468,"Palm Bay, City of",Active,009-54000-00,Brevard,City,Collin Kenline
4486,"Palm Bay, City of",Active,009-54000-00,Brevard,City,Collin Kenline
4828,"New Port Richey, City of",Opening,101-48500-00,Pasco,City,John Hayth
4673,"Palm Bay, City of",Active,009-54000-00,Brevard,City,Collin Kenline
4834,"New Port Richey, City of",Opening,101-48500-00,Pasco,City,John Hayth
4680,"Palm Bay, City of",Active,009-54000-00,Brevard,City,Collin Kenline
1545,Palm Beach Community College,Closed,099-07912-00,Statewide,Public University,Collin Kenline
1561,Palm Beach Community College,Closed,099-07912-00,Statewide,Public University,Collin Kenline
1609,Palm Beach Community College,Closed,099-07912-00,Statewide,Public University,Collin Kenline
1545,Palm Beach County,Closed,099-99099-00,Palm Beach,County,John Hayth
1561,Palm Beach County,Closed,099-99099-00,Palm Beach,County,John Hayth
1609,Palm Beach County,Closed,099-99099-00,Palm Beach,County,John Hayth
1785,Palm Beach County,Closed,099-99099-00,Palm Beach,County,John Hayth
3533,Palm Beach County,Active,099-99099-00,Palm Beach,County,John Hayth
4834,New Smyrna Beach Utilities Commission,Opening,127-48625-01,Volusia,Special District Government,John Hayth
4084,Palm Beach County,Closed,099-99099-00,Palm Beach,County,John Hayth
4283,Palm Beach County,Active,099-99099-00,Palm Beach,County,John Hayth
4337,Palm Beach County,Active,099-99099-00,Palm Beach,County,John Hayth
4468,Palm Beach County,Active,099-99099-00,Palm Beach,County,John Hayth
4486,Palm Beach County,Active,099-99099-00,Palm Beach,County,John Hayth
4673,Palm Beach County,Active,099-99099-00,Palm Beach,County,John Hayth
4680,Palm Beach County,Opening,099-99099-00,Palm Beach,County,John Hayth
1545,Palm Beach County Health Department,Closed,099-089C3-00,Palm Beach,Other,Collin Kenline
1545,Palm Beach County Housing Authority,Closed,099-UBWD9-00,Palm Beach,Public / Indian Housing Authority,Haley Beary
1561,Palm Beach County Housing Authority,Closed,099-UBWD9-00,Palm Beach,Public / Indian Housing Authority,Haley Beary
1609,Palm Beach County Housing Authority,Closed,099-UBWD9-00,Palm Beach,Public / Indian Housing Authority,Haley Beary
4337,Palm Beach County Housing Authority,Active,099-UBWD9-00,Palm Beach,Public / Indian Housing Authority,Haley Beary
1539,Palm Beach County School District,Closed,099-11200-00,Palm Beach,Public School District,John Hayth
1545,Palm Beach County School District,Closed,099-11200-00,Palm Beach,Public School District,John Hayth
1561,Palm Beach County School District,Closed,099-11200-00,Palm Beach,Public School District,John Hayth
4834,"New Smyrna Beach, City of",Opening,127-48625-00,Volusia,City,Collin Kenline
1609,Palm Beach County School District,Closed,099-11200-00,Palm Beach,Public School District,John Hayth
1785,Palm Beach County School District,Closed,099-11200-00,Palm Beach,Public School District,John Hayth
4084,Palm Beach County School District,Active,099-11200-00,Palm Beach,Public School District,John Hayth
4283,Palm Beach County School District,Closed,099-11200-00,Palm Beach,Public School District,John Hayth
4337,Palm Beach County School District,Active,099-11200-00,Palm Beach,Public School District,John Hayth
4468,Palm Beach County School District,Active,099-11200-00,Palm Beach,Public School District,John Hayth
4486,Palm Beach County School District,Active,099-11200-00,Palm Beach,Public School District,John Hayth
4673,Palm Beach County School District,Active,099-11200-00,Palm Beach,Public School District,John Hayth
4680,Palm Beach County School District,Active,099-11200-00,Palm Beach,Public School District,John Hayth
4280,Pinellas County,Active,103-99103-00,Pinellas,County,Ashley Mitchell
4337,Pinellas County,Active,103-99103-00,Pinellas,County,Ashley Mitchell
4806,"Newberry, City of",Opening,001-48200-00,Alachua,City,Ashley Mitchell
4486,Pinellas County,Active,103-99103-00,Pinellas,County,Ashley Mitchell
4828,"Newberry, City of",Opening,001-48200-00,Alachua,City,Ashley Mitchell
4673,Pinellas County,Active,103-99103-00,Pinellas,County,Ashley Mitchell
4834,"Newberry, City of",Opening,001-48200-00,Alachua,City,Ashley Mitchell
4680,Pinellas County,Opening,103-99103-00,Pinellas,County,Ashley Mitchell
4734,Pinellas County,Opening,103-99103-00,Pinellas,County,Ashley Mitchell
3551,Pinellas County School Board,Closed,103-0BF79-00,Pinellas,Public School District,Ashley Mitchell
4068,Pinellas County School Board,Closed,103-0BF79-00,Pinellas,Public School District,Ashley Mitchell
4280,Pinellas County School Board,Closed,103-0BF79-00,Pinellas,Public School District,Ashley Mitchell
4337,Pinellas County School Board,Active,103-0BF79-00,Pinellas,Public School District,Ashley Mitchell
4486,Pinellas County School Board,Closed,103-0BF79-00,Pinellas,Public School District,Ashley Mitchell
1545,"Palm Beach Maritime Museum, Inc.",Closed,099-U26N3-00,Palm Beach,Other,Rachel Langston
1609,"Palm Beach Maritime Museum, Inc.",Closed,099-U26N3-00,Palm Beach,Other,Rachel Langston
4084,Palm Beach Plantation Community Development District,Closed,099-UX83D-00,Palm Beach,Special District Government,Hamza Sattar
1545,"Palm Beach Shores, Town of",Closed,099-54150-00,Palm Beach,City,Rachel Langston
1561,"Palm Beach Shores, Town of",Closed,099-54150-00,Palm Beach,City,Rachel Langston
1609,"Palm Beach Shores, Town of",Closed,099-54150-00,Palm Beach,City,Rachel Langston
4337,"Palm Beach Shores, Town of",Active,099-54150-00,Palm Beach,City,Rachel Langston
4468,"Palm Beach Shores, Town of",Active,099-54150-00,Palm Beach,City,Rachel Langston
4486,"Palm Beach Shores, Town of",Closed,099-54150-00,Palm Beach,City,Rachel Langston
4680,"Palm Beach Shores, Town of",Active,099-54150-00,Palm Beach,City,Rachel Langston
4673,Pinellas County School Board,Active,103-0BF79-00,Pinellas,Public School District,Ashley Mitchell
4734,Pinellas County School Board,Opening,103-0BF79-00,Pinellas,Public School District,Ashley Mitchell
1539,Pinellas Suncoast Transit Authority (PSTA),Closed,103-U7OYQ-00,Pinellas,County,Ashley Mitchell
1545,Pinellas Suncoast Transit Authority (PSTA),Closed,103-U7OYQ-00,Pinellas,County,Ashley Mitchell
1561,Pinellas Suncoast Transit Authority (PSTA),Closed,103-U7OYQ-00,Pinellas,County,Ashley Mitchell
1539,"Palm Coast, City of",Closed,035-54200-00,Flagler,City,Haley Beary
1545,"Palm Coast, City of",Closed,035-54200-00,Flagler,City,Haley Beary
1561,"Palm Coast, City of",Closed,035-54200-00,Flagler,City,Haley Beary
1785,"Palm Coast, City of",Closed,035-54200-00,Flagler,City,Haley Beary
1840,"Palm Coast, City of",Closed,035-54200-00,Flagler,City,Haley Beary
4283,"Palm Coast, City of",Active,035-54200-00,Flagler,City,Haley Beary
4337,"Palm Coast, City of",Active,035-54200-00,Flagler,City,Haley Beary
4468,"Palm Coast, City of",Active,035-54200-00,Flagler,City,Haley Beary
4486,"Palm Coast, City of",Closed,035-54200-00,Flagler,City,Haley Beary
4673,"Palm Coast, City of",Active,035-54200-00,Flagler,City,Haley Beary
4680,"Palm Coast, City of",Active,035-54200-00,Flagler,City,Haley Beary
4734,"Palm Coast, City of",Closed,035-54200-00,Flagler,City,Haley Beary
1539,Palm Harbor Special Fire Control District,Closed,103-07C90-00,Pinellas,Special District Government,Rachel Langston
1545,Palm Harbor Special Fire Control District,Closed,103-07C90-00,Pinellas,Special District Government,Rachel Langston
1561,Palm Harbor Special Fire Control District,Closed,103-07C90-00,Pinellas,Special District Government,Rachel Langston
3551,Palm Harbor Special Fire Control District,Closed,103-07C90-00,Pinellas,Special District Government,Rachel Langston
4068,Palm Harbor Special Fire Control District,Closed,103-07C90-00,Pinellas,Special District Government,Rachel Langston
4280,Palm Harbor Special Fire Control District,Closed,103-07C90-00,Pinellas,Special District Government,Rachel Langston
4337,Palm Harbor Special Fire Control District,Active,103-07C90-00,Pinellas,Special District Government,Rachel Langston
4486,Palm Harbor Special Fire Control District,Active,103-07C90-00,Pinellas,Special District Government,Rachel Langston
4673,Palm Harbor Special Fire Control District,Active,103-07C90-00,Pinellas,Special District Government,Rachel Langston
4734,Palm Harbor Special Fire Control District,Opening,103-07C90-00,Pinellas,Special District Government,Rachel Langston
1545,"Palm Shores, Town of",Closed,009-54425-00,Brevard,City,Hamza Sattar
1561,"Palm Shores, Town of",Closed,009-54425-00,Brevard,City,Hamza Sattar
1785,"Palm Shores, Town of",Closed,009-54425-00,Brevard,City,Hamza Sattar
1545,"Palm Springs, Village of",Closed,099-54450-00,Palm Beach,City,Haley Beary
1561,"Palm Springs, Village of",Closed,099-54450-00,Palm Beach,City,Haley Beary
1609,"Palm Springs, Village of",Closed,099-54450-00,Palm Beach,City,Haley Beary
4283,"Palm Springs, Village of",Closed,099-54450-00,Palm Beach,City,Haley Beary
4337,"Palm Springs, Village of",Active,099-54450-00,Palm Beach,City,Haley Beary
4468,"Palm Springs, Village of",Active,099-54450-00,Palm Beach,City,Haley Beary
4486,"Palm Springs, Village of",Active,099-54450-00,Palm Beach,City,Haley Beary
4680,"Palm Springs, Village of",Closed,099-54450-00,Palm Beach,City,Haley Beary
1545,"Palmetto Bay, Village of",Closed,086-UA2LD-00,Miami-Dade,City,Rachel Langston
1602,"Palmetto Bay, Village of",Closed,086-UA2LD-00,Miami-Dade,City,Rachel Langston
1609,"Palmetto Bay, Village of",Closed,086-UA2LD-00,Miami-Dade,City,Rachel Langston
3259,"Palmetto Bay, Village of",Closed,086-UA2LD-00,Miami-Dade,City,Rachel Langston
3288,"Palmetto Bay, Village of",Closed,086-UA2LD-00,Miami-Dade,City,Rachel Langston
4337,"Palmetto Bay, Village of",Active,086-UA2LD-00,Miami-Dade,City,Rachel Langston
4486,"Palmetto Bay, Village of",Active,086-UA2LD-00,Miami-Dade,City,Rachel Langston
1539,"Palmetto, City Of",Closed,081-54250-00,Manatee,City,Hamza Sattar
1545,"Palmetto, City Of",Closed,081-54250-00,Manatee,City,Hamza Sattar
1561,"Palmetto, City Of",Closed,081-54250-00,Manatee,City,Hamza Sattar
1785,"Palmetto, City Of",Closed,081-54250-00,Manatee,City,Hamza Sattar
4337,"Palmetto, City Of",Active,081-54250-00,Manatee,City,Hamza Sattar
4486,"Palmetto, City Of",Active,081-54250-00,Manatee,City,Hamza Sattar
4673,"Palmetto, City Of",Active,081-54250-00,Manatee,City,Hamza Sattar
4734,"Palmetto, City Of",Opening,081-54250-00,Manatee,City,Hamza Sattar
4399,"Panacea Area Water System, Inc.",Active,129-ULX9C-00,Wakulla,Critical Private Non-Profit,Hamza Sattar
4337,Pinellas Suncoast Transit Authority (PSTA),Closed,103-U7OYQ-00,Pinellas,County,Ashley Mitchell
4486,Pinellas Suncoast Transit Authority (PSTA),Active,103-U7OYQ-00,Pinellas,County,Ashley Mitchell
4399,Panama City Fellowship Church of Praise,Active,005-UQTGY-00,Bay,House of Worship,Haley Beary
4399,Panama City Housing Authority,Active,005-UULM9-00,Bay,Public / Indian Housing Authority,Haley Beary
4486,Panama City Housing Authority,Closed,005-UULM9-00,Bay,Public / Indian Housing Authority,Haley Beary
1539,"Plant City, City of",Closed,057-57550-00,Hillsborough,City,Ashley Mitchell
4399,Panama City Port Authority,Active,005-U6TH3-00,Bay,Special District Government,John Hayth
4486,Panama City Port Authority,Closed,005-U6TH3-00,Bay,Special District Government,John Hayth
1545,"Plant City, City of",Closed,057-57550-00,Hillsborough,City,Ashley Mitchell
1539,"Panama City, City of",Closed,005-54700-00,Bay,City,Haley Beary
1551,"Panama City, City of",Closed,005-54700-00,Bay,City,Haley Beary
1595,"Panama City, City of",Closed,005-54700-00,Bay,City,Haley Beary
1831,"Panama City, City of",Closed,005-54700-00,Bay,City,Haley Beary
3562,"Panama City, City of",Closed,005-54700-00,Bay,City,Haley Beary
4138,"Panama City, City of",Closed,005-54700-00,Bay,City,Haley Beary
4399,"Panama City, City of",Active,005-54700-00,Bay,City,Haley Beary
4486,"Panama City, City of",Active,005-54700-00,Bay,City,Haley Beary
4564,"Panama City, City of",Active,005-54700-00,Bay,City,Haley Beary
4673,"Panama City, City of",Closed,005-54700-00,Bay,City,Haley Beary
4564,Panama City-Bay County Airport & Industrial District,Active,005-UOPPH-00,Bay,Special District Government,John Hayth
1551,Panama City-Bay County Airport and Industrial District,Closed,005-54710-00,Bay,Special District Government,John Hayth
4177,Panama City-Bay County Airport and Industrial District,Active,005-54710-00,Bay,Special District Government,John Hayth
4399,"PanCare of Florida, Inc.",Active,000-U4MUU-00,Bay,Critical Private Non-Profit,Collin Kenline
4486,"PanCare of Florida, Inc.",Opening,000-U4MUU-00,Bay,Critical Private Non-Profit,Collin Kenline
1561,"Plant City, City of",Closed,057-57550-00,Hillsborough,City,Ashley Mitchell
4828,"North Port, City Of",Opening,115-49675-00,Sarasota,City,Hamza Sattar
4834,"North Port, City Of",Opening,115-49675-00,Sarasota,City,Hamza Sattar
4337,Parker Road Community Development District,Closed,001-U5NH7-00,Alachua,Special District Government,Haley Beary
4399,Parker United Methodist Church,Active,005-00B17-00,Bay,House of Worship,Haley Beary
4399,Parker Volunteer Fire Department,Active,005-ULVY8-00,Bay,Critical Private Non-Profit,Rachel Langston
1551,"Parker, City Of",Closed,005-55075-00,Bay,City,Hamza Sattar
1595,"Parker, City Of",Closed,005-55075-00,Bay,City,Hamza Sattar
1602,"Parker, City Of",Closed,005-55075-00,Bay,City,Hamza Sattar
3288,"Parker, City Of",Closed,005-55075-00,Bay,City,Hamza Sattar
4138,"Parker, City Of",Closed,005-55075-00,Bay,City,Hamza Sattar
4399,"Parker, City Of",Active,005-55075-00,Bay,City,Hamza Sattar
4486,"Parker, City Of",Closed,005-55075-00,Bay,City,Hamza Sattar
4564,"Parker, City Of",Active,005-55075-00,Bay,City,Hamza Sattar
4399,Parkway Presbyterian Church,Active,005-00B19-00,Bay,House of Worship,Haley Beary
4828,"Northeast Presbyterian Church, Inc",Opening,,Pinellas,Other,Haley Beary
4673,PARRISH FIRE DISTRICT,Active,081-1226E-00,Manatee,Special District Government,Rachel Langston
4834,"Northeast Presbyterian Church, Inc",Opening,103-0E1A9-00,Pinellas,Other,Haley Beary
4734,PARRISH FIRE DISTRICT,Closed,081-1226E-00,Manatee,Special District Government,Rachel Langston
3288,"Plant City, City of",Closed,057-57550-00,Hillsborough,City,Ashley Mitchell
1539,Pasco County,Closed,101-99101-00,Pasco,County,Hamza Sattar
1545,Pasco County,Closed,101-99101-00,Pasco,County,Hamza Sattar
1561,Pasco County,Closed,101-99101-00,Pasco,County,Hamza Sattar
3288,Pasco County,Closed,101-99101-00,Pasco,County,Hamza Sattar
3551,Pasco County,Active,101-99101-00,Pasco,County,Hamza Sattar
3561,Pasco County,Active,101-99101-00,Pasco,County,Hamza Sattar
4068,Pasco County,Closed,101-99101-00,Pasco,County,Hamza Sattar
4280,Pasco County,Active,101-99101-00,Pasco,County,Hamza Sattar
4337,Pasco County,Active,101-99101-00,Pasco,County,Hamza Sattar
4399,Pasco County,Closed,101-99101-00,Pasco,County,Hamza Sattar
4486,Pasco County,Active,101-99101-00,Pasco,County,Hamza Sattar
4673,Pasco County,Active,101-99101-00,Pasco,County,Hamza Sattar
4680,Pasco County,Active,101-99101-00,Pasco,County,Hamza Sattar
4734,Pasco County,Opening,101-99101-00,Pasco,County,Hamza Sattar
1539,Pasco County District School Board,Closed,101-UWKL1-00,Pasco,Public School District,Hamza Sattar
1545,Pasco County District School Board,Closed,101-UWKL1-00,Pasco,Public School District,Hamza Sattar
1561,Pasco County District School Board,Closed,101-UWKL1-00,Pasco,Public School District,Hamza Sattar
4068,Pasco County District School Board,Closed,101-UWKL1-00,Pasco,Public School District,Hamza Sattar
4337,Pasco County District School Board,Closed,101-UWKL1-00,Pasco,Public School District,Hamza Sattar
1545,Nova Southeastern University,Closed,000-UOTT8-00,Statewide,Critical Private Non-Profit,Ashley Mitchell
4486,Pasco County District School Board,Active,101-UWKL1-00,Pasco,Public School District,Hamza Sattar
1561,Nova Southeastern University,Closed,000-UOTT8-00,Statewide,Critical Private Non-Profit,Ashley Mitchell
4673,Pasco County District School Board,Closed,101-UWKL1-00,Pasco,Public School District,Hamza Sattar
1609,Nova Southeastern University,Closed,000-UOTT8-00,Statewide,Critical Private Non-Profit,Ashley Mitchell
4734,Pasco County District School Board,Opening,101-UWKL1-00,Pasco,Public School District,Hamza Sattar
4337,Nova Southeastern University,Active,000-UOTT8-00,Statewide,Critical Private Non-Profit,Ashley Mitchell
1545,Pasco County Mosquito Control District,Closed,101-UTKZ8-00,Pasco,Special District Government,Hamza Sattar
4486,Nova Southeastern University,Opening,000-UOTT8-00,Statewide,Critical Private Non-Profit,Ashley Mitchell
1561,Pasco County Mosquito Control District,Closed,101-UTKZ8-00,Pasco,Special District Government,Hamza Sattar
4673,Nova Southeastern University,Opening,000-UOTT8-00,Statewide,Critical Private Non-Profit,Ashley Mitchell
1539,Pasco County Sheriff Office,Closed,101-09E95-00,Pasco,County Sheriff,Rachel Langston
4709,Nova Southeastern University,Opening,000-UOTT8-00,Statewide,Critical Private Non-Profit,Ashley Mitchell
1545,Pasco County Sheriff Office,Closed,101-09E95-00,Pasco,County Sheriff,Rachel Langston
1561,Pasco County Sheriff Office,Closed,101-09E95-00,Pasco,County Sheriff,Rachel Langston
4068,Pasco County Sheriff Office,Closed,101-09E95-00,Pasco,County Sheriff,Rachel Langston
4280,Pasco County Sheriff Office,Closed,101-09E95-00,Pasco,County Sheriff,Rachel Langston
4337,Pasco County Sheriff Office,Active,101-09E95-00,Pasco,County Sheriff,Rachel Langston
4399,Pasco County Sheriff Office,Closed,101-09E95-00,Pasco,County Sheriff,Rachel Langston
4486,Pasco County Sheriff Office,Active,101-09E95-00,Pasco,County Sheriff,Rachel Langston
4673,Pasco County Sheriff Office,Active,101-09E95-00,Pasco,County Sheriff,Rachel Langston
4734,Pasco County Sheriff Office,Opening,101-09E95-00,Pasco,County Sheriff,Rachel Langston
4337,"Plant City, City of",Active,057-57550-00,Hillsborough,City,Ashley Mitchell
4673,Paseo Community Development District,Active,071-UMQVF-00,Lee,Special District Government,Haley Beary
4834,"Oak Hill, City of",Opening,127-50450-00,Volusia,City,Ashley Mitchell
4486,"Plant City, City of",Active,057-57550-00,Hillsborough,City,Ashley Mitchell
4673,"Plant City, City of",Active,057-57550-00,Hillsborough,City,Ashley Mitchell
4680,"Plant City, City of",Active,057-57550-00,Hillsborough,City,Ashley Mitchell
4734,"Plant City, City of",Opening,057-57550-00,Hillsborough,City,Ashley Mitchell
4486,PATI Ministries Inc,Closed,005-UBGKE-00,Orange,Critical Private Non-Profit,Haley Beary
1551,"Paxton, City of",Closed,131-55475-00,Walton,City,Collin Kenline
1595,"Paxton, City of",Closed,131-55475-00,Walton,City,Collin Kenline
1831,"Paxton, City of",Closed,131-55475-00,Walton,City,Collin Kenline
4138,"Paxton, City of",Closed,131-55475-00,Walton,City,Collin Kenline
4673,"Peace Lutheran Church Of Naples, Inc.",Closed,021-UCKTW-00,Collier,House of Worship,Haley Beary
4337,Peace Mural Foundation Inc.,Closed,086-UGNK1-00,Miami-Dade,Non-Critical Private Non-Profit,Collin Kenline
4486,Peace Mural Foundation Inc.,Active,086-UGNK1-00,Miami-Dade,Non-Critical Private Non-Profit,Collin Kenline
4834,"Oakland Park, City of",Opening,011-50575-00,Broward,City,Ashley Mitchell
4673,"Peace River Botanical & Sculpture Gardens, Inc.",Closed,015-U816M-00,Charlotte,Non-Critical Private Non-Profit,Haley Beary
4673,"Royal Beach Club Condominium Association, Inc.",Closed,071-UTFDU-00,Manatee,PNP-Home Owners Association,Ashley Mitchell
4337,"San Antonio, City of",Closed,101-131B6-00,Pasco,City,Ashley Mitchell
1539,"St. Petersburg, City of",Closed,103-63000-00,Pinellas,City,Ashley Mitchell
1545,"St. Petersburg, City of",Closed,103-63000-00,Pinellas,City,Ashley Mitchell
1539,"Peace River Electric Cooperative, Inc",Closed,000-UGS6V-00,Hardee,Critical Private Non-Profit,John Hayth
1545,"Peace River Electric Cooperative, Inc",Closed,000-UGS6V-00,Hardee,Critical Private Non-Profit,John Hayth
4834,"Oakland, Town of",Opening,095-50525-00,Orange,City,John Hayth
1561,"Peace River Electric Cooperative, Inc",Closed,000-UGS6V-00,Hardee,Critical Private Non-Profit,John Hayth
1609,"Peace River Electric Cooperative, Inc",Closed,000-UGS6V-00,Hardee,Critical Private Non-Profit,John Hayth
4834,Oasis Church Inc.,Opening,,Pasco,Other,Hamza Sattar
3288,"Peace River Electric Cooperative, Inc",Closed,000-UGS6V-00,Hardee,Critical Private Non-Profit,John Hayth
4337,"Peace River Electric Cooperative, Inc",Active,000-UGS6V-00,Hardee,Critical Private Non-Profit,John Hayth
4486,"Peace River Electric Cooperative, Inc",Closed,000-UGS6V-00,Hardee,Critical Private Non-Profit,John Hayth
4673,"Peace River Electric Cooperative, Inc",Active,000-UGS6V-00,Hardee,Critical Private Non-Profit,John Hayth
4680,"Peace River Electric Cooperative, Inc",Active,000-UGS6V-00,Hardee,Critical Private Non-Profit,John Hayth
4734,"Peace River Electric Cooperative, Inc",Opening,000-UGS6V-00,Hardee,Critical Private Non-Profit,John Hayth
1539,Peace River Manasota Region Water Authority,Closed,027-UC0O9-00,DeSoto,Special District Government,Hamza Sattar
4673,Peace River Manasota Region Water Authority,Active,027-UC0O9-00,DeSoto,Special District Government,Hamza Sattar
1561,"St. Petersburg, City of",Closed,103-63000-00,Pinellas,City,Ashley Mitchell
4673,"Peace River Wildlife Center, Inc.",Closed,000-UMLQM-00,Charlotte,Non-Critical Private Non-Profit,Haley Beary
1545,Pelican Lake Water Control District,Closed,099-55675-00,Palm Beach,Special District Government,Hamza Sattar
1561,Pelican Lake Water Control District,Closed,099-55675-00,Palm Beach,Special District Government,Hamza Sattar
1609,Pelican Lake Water Control District,Closed,099-55675-00,Palm Beach,Special District Government,Hamza Sattar
4337,Pelican Lake Water Control District,Closed,099-55675-00,Palm Beach,Special District Government,Hamza Sattar
4673,Pelican Lake Water Control District,Active,099-55675-00,Palm Beach,Special District Government,Hamza Sattar
3288,"St. Petersburg, City of",Closed,103-63000-00,Pinellas,City,Ashley Mitchell
1539,Pelican Marsh Community Development District,Closed,021-UNZCW-00,Collier,Special District Government,Haley Beary
1609,Pelican Marsh Community Development District,Closed,021-UNZCW-00,Collier,Special District Government,Haley Beary
4337,Pelican Marsh Community Development District,Active,021-UNZCW-00,Collier,Special District Government,Haley Beary
4673,Pelican Marsh Community Development District,Active,021-UNZCW-00,Collier,Special District Government,Haley Beary
1545,"Pembroke Park, Town of",Closed,011-55750-00,Broward,City,Haley Beary
1561,"Pembroke Park, Town of",Closed,011-55750-00,Broward,City,Haley Beary
1602,"Pembroke Park, Town of",Closed,011-55750-00,Broward,City,Haley Beary
1609,"Pembroke Park, Town of",Closed,011-55750-00,Broward,City,Haley Beary
3259,"Pembroke Park, Town of",Closed,011-55750-00,Broward,City,Haley Beary
3288,"Pembroke Park, Town of",Closed,011-55750-00,Broward,City,Haley Beary
